,petition_id,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
113,626cb59a-2eeb-4e85-9f5b-a458329d9b56,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
114,f4782914-011d-4898-bd7b-67dd51ab56cd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,ffd9a533-43f8-430b-ab38-50136327d71a,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0
116,3cfb33a8-e8b3-4b9b-b7b1-886fac151278,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,f6693d0b-39e6-482d-80c4-df6103aea131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,9358b9f2-d8d4-47f4-b804-355f6f639d56,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,ea8d97c0-ba61-41d0-b9b7-e53a0b77a759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4c78719b-d7b9-4f4f-9e22-b5c9c0dda13d,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
121,c09fdbfd-1146-431c-b489-eb5424688881,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
122,c363a448-64de-48b5-ac04-4e84b8a38307,2,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
123,67633122-a810-450c-8cf9-4729391fe4d2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,99ba67c2-3bbc-40a2-9455-4f6426155e71,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,07227318-4bdf-4ae5-9f25-1d3e034d16b3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
126,f60bec8e-8949-4302-890c-a1ed21442ddf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,ae7d0802-dce9-4b59-b1c4-20a622335ee9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,f07cd6c8-7995-42c5-875d-d1c5b65334cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0b538d83-370f-40f1-83ca-892cf8bf0834,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,43369ba1-cb06-4098-a49f-1082d5a2f54e,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
131,de4f6b3f-31cb-432c-b9d7-1899960e758a,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,b2e7b425-467c-4b60-be34-76d064496854,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
133,71220cfe-2885-4ce1-a160-1691d4f83b76,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
134,97e9090f-5a6c-4e8f-b735-5aa5ecc87992,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,ccb700b1-2bf0-4ca2-a9f2-80119a5626fe,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,a034520c-4799-42f0-ade1-ba382c73baaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,38e0ef29-8382-4184-bbd0-372e68b704ba,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,9b7590b6-0ad8-400f-a249-ba513cb02b02,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
139,8fc4343b-f33f-4b23-96c2-2164a0ef378c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,a5a12dc6-db82-4fdf-a7a4-c84198f7f651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,c410ab02-0c12-47cb-8e5d-35b256ecd16d,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142,0918db32-6b92-4e23-a11b-8959936fd76a,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
143,5a75b340-8a33-44a5-b72b-569ab0d1f42a,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,b71cb71b-d24d-444b-bbd0-1b668887313f,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,7d496d15-373f-42a9-b618-4f317eb42bba,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
146,0afcc3b1-188e-41ea-85c4-b463daf4a980,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
147,4d1caca2-f14c-475c-a549-862a5dd3377d,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
148,8b0db499-0157-48a3-aa08-1542bcdb1541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
149,0b8cacf8-5f6d-49b6-874d-f7bfc61a5f5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
150,1585de54-85c9-4b8c-bc04-06d62741be01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,4dab7258-0b51-43e0-9e8b-6665a8061ea4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,7325eb23-b4fb-4145-86f0-e7e3a4f37174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,f9476e10-1a1a-45df-a5d5-fbf7b5c3af6a,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,889de963-45f4-466d-8259-b3c5eea6398d,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,e7da8796-afd3-40e7-8df8-474d952a5174,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156,e8ca28ba-0d71-421a-ae47-281123c192c5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
157,4b1d8095-8533-41e8-a5a6-0fdc6bd511d5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,72256a6d-422d-48d5-870c-3629cdf1bc11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
159,1c9748b5-1968-4898-8e95-656ec298cf2d,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
160,accd41cb-3412-45dc-ac9e-1fa0c41ac239,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
161,3921ca2a-b179-4032-b2d3-238d13695904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,5218c505-2942-41e8-8a1a-93e45f8c611c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
163,2990a2f4-8402-4411-ab75-e52f648d2dc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,8df357a2-73f7-4f8f-b436-6fe1d8b7109b,1,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
165,d7d2659f-0f43-4f0f-b5b8-2f1355bac993,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
166,cb1c22de-3b41-41bf-b389-3718c713b8aa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
167,d7b6821d-a1f8-4e90-aa64-527d512944eb,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,b3ec139a-7c2d-410f-9041-501116075f6c,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169,880550b7-5274-4f44-ab76-22a695ded9b5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,5c138f54-1e2b-4c63-809d-b5e45ee4a069,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
171,c1c7359c-669a-4059-b363-4975ebdb8c2f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,5f5d91db-9f38-4db4-8496-0a748df4bdaf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,19dad494-bf26-4ac4-8832-1f7eea95d065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2cc931ba-e3ae-4dbc-8a70-b686ed7bb8b9,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
175,ebf08a07-ae68-4775-a402-e2430dbc57c8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
176,cb8d3db2-3415-41e8-88c0-897a5d534aee,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
177,bdf65ba0-b0fd-453b-9510-b0f0e72af201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,189841bf-5580-4f9d-942c-a7748d708244,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,6cc04e1b-eb13-4798-852b-bf6bc34ec9b3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
180,86802936-f1f2-4e02-80fc-5d71514060d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,7530d735-f7d8-4a66-aac2-e61edf428189,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
182,a9507555-e0da-4334-87ce-3c680d430a63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
183,ddd02211-b3f9-4d31-b210-128198448833,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,d384b6f7-a405-428a-93bb-00dae59b66af,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,71146aa9-4174-4b3b-b856-cda7b6890fdf,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
186,af4e515a-884c-485c-b27e-82ff6cbc06f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,c4f50ee3-e7b9-4921-ac52-10d79702909c,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
188,bab27b95-b642-41e3-b0ce-d5abaef896e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,d8d24072-29f3-49c2-9f4e-4c07306756d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
190,052f3ccf-6900-4e70-a92f-2a3700bb4185,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
191,c76bf19e-1592-4c6c-aa5a-4cb136e668f0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,f554ed17-5130-4def-8aa1-47db8f10c258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
193,bb6ff1c5-7fa5-4b4f-8c0f-21e0f53d072a,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
